ID,participant,x1_JJJ,x2_nchar,freq,
994,TTR55,0,139,0,
995,TTR56,0,174,0,
996,TTR57,0,205,0,
997,TTR58,0,220,0,
998,TTR59,0,276,1,
999,TTR60,0,171,2,
1000,TTR61,0,188,1,
1001,VVN01,0,151,1,
1002,VVN03,0,134,1,
1003,VVN04,0,169,2,
1004,VVN05,0,180,0,
1005,VVN06,0,157,0,
1006,VVN09,0,144,2,
1007,VVN10,0,135,0,
1008,VVN11,0,137,0,
1009,VVN12,0,149,1,
1010,VVN13,0,112,0,
1011,VVN15,0,144,0,
1012,VVN16,0,122,0,
1013,VVN17,0,261,1,
1014,VVN18,0,194,0,
1015,VVN19,0,135,1,
1016,VVN20,0,112,0,
1017,VVN21,0,108,0,
1018,VVN22,0,169,1,
1019,VVN23,0,97,1,
1020,VVN24,0,158,1,
1021,VVN25,0,136,0,
1022,VVN26,0,137,0,
1023,VVN27,0,210,2,
1024,VVN28,0,150,0,
1025,VVN29,0,150,2,
1026,VVN30,0,99,1,
1027,VVN31,0,201,1,
1028,VVN32,0,191,0,
1029,VVN33,0,149,1,
1030,VVN35,0,112,0,
1031,VVN36,0,178,0,
1032,VVN37,0,217,0,
1033,VVN38,0,252,0,
1034,VVN39,0,127,1,
1035,VVN40,0,113,2,
1036,VVN41,0,142,0,
1037,VVN42,0,158,0,
1038,VVN43,0,94,0,
1039,VVN44,0,143,1,
1040,VVN45,0,134,0,
1041,VVN46,0,170,2,
1042,VVN47,0,140,0,
1043,VVN48,0,218,4,
1044,VVN49,0,123,1,
1045,VVN50,0,179,1,
1046,VVN51,0,281,3,
1047,VVN53,0,188,0,
1048,VVN55,0,155,1,
1049,VVN56,0,229,1,
1050,VVN57,0,236,0,
