ID,participant,x1_JJJ,x2_nchar,freq,
227,EGB05,0,154,0,
228,EGB07,0,97,0,
229,EGB08,0,165,1,
230,EGB10,0,106,1,
231,EGB11,0,161,1,
232,EGB13,0,138,0,
233,EGB15,0,185,0,
234,EGB17,0,237,1,
235,EGB19,0,196,1,
236,EGB21,0,175,1,
237,EGB22,0,182,0,
238,EGB23,0,173,0,
239,EGB26,0,214,2,
240,EGB28,0,216,1,
241,EGB29,0,92,1,
242,EGB30,0,135,1,
243,ENZ02,0,162,1,
244,ENZ08,0,167,1,
245,ENZ12,0,91,1,
246,ENZ13,0,118,0,
247,ENZ14,0,108,0,
248,ENZ18,0,159,1,
249,ENZ20,0,252,2,
250,ENZ23,0,115,1,
251,ENZ27,0,181,1,
252,ENZ29,0,239,1,
253,ENZ30,0,285,0,
254,ENZ31,0,212,1,
255,ENZ32,0,150,1,
256,ENZ33,0,140,1,
257,ENZ35,0,144,1,
258,ENZ38,0,261,2,
259,ENZ39,0,131,0,
260,ENZ41,0,179,1,
261,ENZ43,0,107,0,
262,ENZ48,0,199,0,
263,EUS01,0,166,3,
264,EUS02,0,302,1,
265,EUS03,0,264,0,
266,EUS05,0,144,0,
267,EUS08,0,79,0,
268,EUS11,0,210,0,
269,EUS12,0,94,1,
270,EUS13,0,107,0,
271,EUS14,0,170,1,
272,EUS15,0,91,0,
273,EUS17,0,129,1,
274,EUS18,0,155,0,
275,EUS20,0,115,0,
276,EUS21,0,111,0,
277,EUS23,0,99,0,
278,EUS24,0,106,0,
279,EUS25,0,68,0,
280,EUS26,0,66,1,
281,EUS27,0,70,0,
282,EUS29,0,169,1,
283,EUS30,0,109,0,
284,EUS31,0,198,1,
285,EUS32,0,242,1,
286,EUS33,0,288,2,
287,EUS35,0,140,1,
288,EUS36,0,74,0,
289,EUS38,0,150,0,
290,EUS39,0,106,0,
291,EUS40,0,77,0,
292,EUS42,0,165,0,
293,EUS43,0,80,0,
294,EUS46,0,134,0,
295,EUS47,0,107,0,
296,EUS49,0,81,0,
297,EUS50,0,187,0,
298,EUS53,0,83,0,
299,EUS54,0,109,0,
300,EUS55,0,90,0,
301,FFR01,0,149,1,
302,FFR02,0,144,0,
303,FFR03,0,174,0,
304,FFR04,0,134,0,
305,FFR06,0,132,0,
306,FFR07,0,189,1,
307,FFR08,0,109,1,
308,FFR10,0,171,1,
309,FFR11,0,100,0,
310,FFR13,0,73,0,
311,FFR15,0,106,1,
312,FFR17,0,222,0,
313,FFR18,0,133,0,
314,FFR19,0,226,1,
315,FFR20,0,139,0,
316,FFR22,0,83,0,
317,FFR23,0,106,0,
318,FFR24,0,192,1,
319,FFR25,0,155,0,
320,FFR26,0,150,0,
321,FFR27,0,129,1,
322,FFR30,0,161,0,
323,FFR31,0,188,0,
324,FFR32,0,106,0,
325,FFR33,0,137,0,
326,FFR35,0,147,0,
327,FFR36,0,142,0,
328,FFR37,0,116,0,
329,FFR38,0,128,1,
330,FFR39,0,178,0,
331,FFR40,0,157,1,
332,FFR42,0,89,0,
333,FFR44,0,118,0,
334,FFR45,0,109,0,
335,FFR46,0,116,3,
336,FFR47,0,130,1,
337,FFR49,0,218,0,
338,FFR50,0,135,0,
339,FFR51,0,99,0,
340,FFR53,0,144,0,
341,FFR54,0,113,0,
342,FFR55,0,205,0,
343,FFR56,0,125,0,
344,FFR57,0,161,0,
345,FFR59,0,133,0,
346,FFR60,0,115,2,
347,FFR61,0,278,1,
348,FFR62,0,257,0,
349,FFR63,0,124,0,
350,FFR64,0,113,0,
351,GAT01,0,204,1,
352,GAT02,0,224,1,
353,GAT03,0,186,1,
354,GAT04,0,140,1,
355,GAT05,0,185,0,
356,GAT06,0,191,1,
357,GAT07,0,118,0,
358,GAT08,0,150,0,
359,GAT09,0,147,1,
360,GAT10,0,138,0,
361,GAT11,0,248,1,
362,GAT12,0,200,1,
363,GAT14,0,218,1,
364,GAT16,0,291,1,
365,GAT17,0,113,0,
366,GAT19,0,152,1,
367,GAT20,0,109,0,
368,GAT21,0,153,0,
369,GAT22,0,88,1,
370,GAT23,0,206,1,
371,GAT24,0,229,2,
372,GAT25,0,185,0,
373,GAT27,0,138,0,
374,GAT28,0,193,0,
375,GAT29,0,151,1,
376,GAT30,0,160,1,
377,GAT31,0,152,0,
378,GAT33,0,213,0,
379,GAT34,0,175,0,
380,GAT36,0,121,0,
381,GAT37,0,232,0,
382,GAT38,0,128,0,
383,GAT39,0,95,2,
384,GAT40,0,180,2,
385,GAT41,0,126,1,
386,GAT42,0,186,0,
387,GAT43,0,148,1,
388,GAT45,0,146,1,
389,GAT46,0,123,1,
390,GDE01,0,310,1,
391,GDE02,0,198,0,
392,GDE04,0,319,1,
393,GDE06,0,160,1,
394,GDE09,0,147,0,
395,GDE10,0,202,0,
396,GDE12,0,118,0,
397,GDE13,0,237,1,
398,GDE14,0,156,0,
399,GDE15,0,358,2,
400,GDE16,0,108,1,
401,HHG02,0,298,1,
402,HHG03,0,263,1,
403,HHG04,0,170,0,
404,HHG05,0,208,2,
405,HHG06,0,241,2,
406,HHG07,0,205,1,
407,HHG08,0,230,0,
408,HHG09,0,308,0,
409,HHG10,0,221,0,
410,HHG11,0,151,1,
411,HHG12,0,197,0,
412,HHG13,0,154,1,
413,HHG16,0,283,0,
414,HHG18,0,224,2,
415,HHG19,0,157,1,
416,HHG20,0,190,1,
417,HHG21,0,381,1,
418,HHG23,0,220,0,
419,HHG25,0,162,0,
420,HHG26,0,255,1,
421,HHG27,0,144,0,
422,HHG28,0,193,1,
423,HHG29,0,266,2,
424,HHG30,0,112,1,
425,HHG31,0,164,1,
426,HHG32,0,144,0,
427,HHG33,0,158,1,
428,HHG35,0,258,2,
429,HHG36,0,271,0,
430,HHG37,0,268,0,
431,HHG39,0,221,2,
432,HHG40,0,150,0,
433,HHG44,0,167,0,
434,HHG45,0,235,1,
435,HHG46,0,180,0,
436,HHG47,0,240,1,
437,HHG48,0,174,0,
438,HHG49,0,172,1,
439,HHG50,0,145,0,
440,HHG51,0,155,2,
441,HHG52,0,225,1,
442,HHG53,0,115,1,
443,HHG54,0,130,0,
444,HHG55,0,195,1,
445,HHG56,0,244,1,
446,HHG57,0,187,0,
447,HHG58,0,149,1,
448,HHG59,0,154,0,
449,HHG60,0,162,1,
450,HHG61,0,115,0,
451,IID01,0,225,3,
452,IID02,0,175,0,
453,IID03,0,180,1,
454,IID06,0,172,0,
455,IID07,0,148,1,
456,IID08,0,370,2,
457,IID09,0,149,1,
458,IID10,0,126,1,
459,IID11,0,191,1,
460,IID12,0,202,0,
461,IID13,0,185,2,
462,IID14,0,148,0,
463,IID15,0,207,2,
464,IID16,0,191,2,
465,IID17,0,257,0,
466,IID18,0,218,3,
467,IID19,0,181,1,
468,IID20,0,231,0,
469,IID22,0,214,2,
470,IID23,0,142,1,
471,IID24,0,211,0,
472,IID25,0,134,1,
473,IID26,0,128,1,
474,IID27,0,166,1,
475,IID28,0,112,1,
476,IID29,0,207,2,
477,IID31,0,253,0,
478,IID32,0,115,1,
479,IID33,0,112,1,
480,IID34,0,277,1,
481,IID35,0,203,1,
482,IID36,0,137,0,
483,IID38,0,142,2,
484,IID39,0,163,1,
485,IID40,0,181,1,
